Aircraft,Origin,Type,Variant,In service,Notes
Dassault Rafale,France,Multirole,DH,8[1],
EH,28[1],,,,
HAL Tejas,India,Multirole,Mk.1,31[2][3],
Conversion trainer,Mk.1 Trainer,4[4][5],Used for training; 14 more on order[6],,
Multirole,Mk.1A,,"73 on order, 97 more approved[6][7]",,
Sukhoi Su-30MKI,Russia,Multirole,Su-30MKI Flanker H,259[8][9],12 more on order.[10]
Mikoyan MiG-29,Soviet Union,Multirole,Fulcrum,52[1][11][12],Including 12 MiG-29UPG.
Fulcrum B,7[1],,,,
Dassault Mirage 2000,France,Multirole,-2000H,37[1],
-2000TH,10[1],Used for training.,,,
SEPECAT Jaguar,United Kingdom,Attack,IB,28[1],Used for training.
IS,78[1][13],,,,
IM,8[1],Maritime strike aircraft carrying Sea Eagle missile.,,,
Mikoyan-Gurevich MiG-21,Soviet Union,Interceptor,MiG-21 Bison,40[14],Being phased out.[15]
Embraer R-99,Brazil,AEW&C,Netra Mk1,3[16],equipped with a  Netra AEW&CS.
Beriev A-50,Soviet Union,AEW&C,A-50EI,3[16],equipped with the EL/W-2090 radar. 2 more planned.[17][18]
Boeing 707,United States,SIGINT / ELINT,707-337C Phalcon,1[16],Operated by Aviation Research Centre (ARC) of R&AW.[19][20]
Global 5000,United States,SIGINT / ELINT,,2[16],
Gulfstream III,United States,ELINT,SRA[21],3[16],
Boeing 737,United States,SIGINT / ELINT,737-700,2[16],
Gulfstream G100,Israel,surveillance,1125 Astra,2[16],
Ilyushin Il-78,Soviet Union,aerial refuelling,Il-78MKI,6[16],
Boeing 777,United States,VIP transport,777-300ER,2[22],Used as Air India One for presidential flight
Embraer Legacy 600,Brazil,VIP transport,,4[23],
Boeing C-17,United States,strategic airlifter,,11[16],
Ilyushin Il-76,Soviet Union,strategic airlifter,Il-76MD,17[16],
C-130J Super Hercules,United States,tactical airlifter,C-130J-30[24],12[16],
Airbus A321,Europe,transport,A321-200,4[16],
Antonov An-32,Soviet Union,tactical airlifter,,103[16],53 are the 32RE variant[25]
Airbus C-295,Spain,tactical airlifter,C-295W,7[26][27],50 more on order â€” HS 748 replacement[28]
Hawker Siddeley HS 748,United Kingdom,tactical airlifter,,56[16],To be replaced by EADS CASA C-295
Dornier 228,Germany,tactical airlifter,228-201,61[16],license built by HAL[29]
Boeing AH-64,United States,attack,AH-64E,22[16],
Mil Mi-24,Russia,attack,Mi-25/35,15[16],
HAL Prachand,India,attack,,10[30],66 on order[31]
HAL Rudra,India,attack,,16,50 on order.[32]
CH-47 Chinook,United States,transport,CH-47F,15[16],
Mil Mi-17,Russia,utility,Mi-17V-5,222[16],
HAL Dhruv,India,utility,,95[16],
HAL Light Utility Helicopter,India,utility,,,6 on order[33]
Alouette III,France/India,liaison,Chetak,79[16],license-built by HAL. A fleet of around 120 aircraft.[34]
Cheetal,18[35],,,,
SA 315B Lama,France/India,utility,Cheetah,18[16],
BAE Hawk,United Kingdom,Advanced trainer,Hawk 132,102[16],
HAL Kiran,India,Intermediate trainer,,77[16],
HAL HTT-40,India,Basic trainer,,,70 + 36 on order [16]
Pilatus PC-7,Switzerland,Basic trainer,Mk II,74[16],
Pipistrel Virus,Slovenia,Ab initio trainer,,72[36][37],
IAI Heron,Israel,Surveillance,Mk 1,,
Mk 2,4,[38][39] 2 on order[40],,,
IAI Searcher,Mk 1/2,,[41],,
MQ-9 Reaper,United States,Surveillance/ Combat,SkyGuardian,0,8 on order[42]
ALS-50,India,loitering munition,,100[43],
Kadet Loitering Aerial Munition,,50+ on order,"Developed by DRDO and KDS
Multiple variants; Weight - 15 to 120 kg; Warhead - 2 to 40 kg; Max. Endurance - 12 hrs; Max. Range - 150 to 300 km; Canister launched and vertical take-off and landing (VTOL) variants[44][45]",,
